accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
0.12, -0.04, 0.80, 42.50, -44.39, -2.50, 0.23, 0.01, 0.42, 37563
0.08, -0.05, 0.86, 41.40, -47.87, 0.43, 0.22, 0.01, 0.42, 37573
0.05, -0.06, 0.87, 43.72, -47.87, 2.20, 0.22, 0.01, 0.42, 37583
0.09, -0.08, 0.98, 49.45, -39.27, 3.72, 0.21, 0.01, 0.42, 37593
0.12, -0.07, 1.13, 48.29, -31.52, 8.84, 0.21, 0.00, 0.42, 37603
0.08, -0.07, 1.22, 41.65, -21.10, 15.06, 0.21, -0.00, 0.42, 37613
-0.01, -0.06, 1.19, 36.34, -14.76, 18.48, 0.21, -0.01, 0.42, 37623
-0.09, -0.06, 1.14, 38.54, -13.96, 18.29, 0.21, -0.01, 0.42, 37633
-0.16, -0.04, 1.25, 42.20, -15.61, 15.43, 0.21, -0.01, 0.42, 37643
-0.17, -0.05, 1.36, 40.67, -17.93, 10.91, 0.21, -0.02, 0.41, 37653
-0.15, -0.06, 1.48, 35.18, -15.73, 7.56, 0.21, -0.02, 0.41, 37663
-0.16, -0.08, 1.57, 23.90, -15.12, 5.12, 0.21, -0.02, 0.42, 37673
-0.16, -0.08, 1.58, 11.65, -12.07, 0.67, 0.21, -0.02, 0.42, 37683
-0.13, -0.09, 1.50, 2.13, -9.88, -2.99, 0.21, -0.02, 0.42, 37693
-0.08, -0.11, 1.44, -1.22, -6.95, -5.73, 0.20, -0.02, 0.41, 37703
-0.01, -0.10, 1.44, -2.68, -5.12, -5.55, 0.20, -0.02, 0.41, 37713
0.01, -0.10, 1.45, -4.70, 1.22, -2.50, 0.21, -0.02, 0.42, 37723
-0.05, -0.11, 1.50, -8.78, 10.37, 0.18, 0.21, -0.02, 0.42, 37733
-0.08, -0.11, 1.52, -15.55, 18.29, -1.22, 0.21, -0.02, 0.42, 37743
-0.08, -0.08, 1.46, -24.82, 21.28, -3.48, 0.21, -0.01, 0.42, 37753
-0.08, -0.07, 1.35, -30.00, 22.13, -3.96, 0.21, -0.01, 0.42, 37763
-0.10, -0.05, 1.29, -33.66, 20.55, -6.16, 0.21, -0.01, 0.42, 37773
-0.12, -0.04, 1.23, -38.11, 18.29, -8.78, 0.22, -0.01, 0.42, 37783
-0.11, -0.03, 1.16, -42.44, 18.17, -12.44, 0.22, 0.00, 0.42, 37793
-0.05, -0.03, 1.05, -46.59, 20.85, -14.70, 0.22, 0.00, 0.43, 37803
0.00, -0.02, 0.92, -45.30, 22.68, -13.05, 0.22, 0.01, 0.42, 37813
0.02, -0.01, 0.83, -43.90, 22.26, -10.37, 0.22, 0.01, 0.42, 37823
0.02, -0.03, 0.70, -42.62, 24.09, -8.60, 0.23, 0.01, 0.43, 37833
-0.02, -0.02, 0.61, -36.04, 15.00, -5.30, 0.23, 0.01, 0.43, 37843
-0.01, -0.00, 0.51, -28.72, 11.46, -6.28, 0.23, 0.02, 0.43, 37853
0.01, 0.01, 0.46, -20.24, 4.82, -6.04, 0.23, 0.02, 0.43, 37863
0.00, -0.01, 0.46, -11.46, -5.12, -6.89, 0.23, 0.03, 0.43, 37873
0.09, -0.02, 0.48, -2.68, -8.66, -6.65, 0.23, 0.02, 0.43, 37883
0.14, -0.01, 0.58, 2.93, -11.46, -2.20, 0.23, 0.02, 0.43, 37893
0.14, -0.01, 0.63, 4.15, -12.99, 4.82, 0.23, 0.02, 0.43, 37903
0.04, -0.00, 0.65, 3.41, -8.48, 9.15, 0.23, 0.02, 0.43, 37913
-0.01, 0.00, 0.58, 4.76, -7.01, 9.02, 0.23, 0.02, 0.43, 37923
0.02, 0.01, 0.54, 12.13, -7.74, 9.70, 0.23, 0.02, 0.43, 37933
0.01, 0.03, 0.58, 18.54, -9.09, 12.26, 0.23, 0.02, 0.43, 37943
-0.02, 0.04, 0.59, 23.23, -8.29, 16.40, 0.23, 0.01, 0.43, 37953
-0.12, 0.04, 0.63, 28.60, -10.06, 17.20, 0.23, 0.01, 0.43, 37963
